miphithim|1|1Ch 2:53
minaians|1|1Ch 4:41
minaean|1|Job 2:11
milchah|1|Num 36:11
milcah|1|Gen 22:20
midian|1|Num 31:3
michmash|1|Neh 11:31
michal|1|1Sa 19:11
methuseleh|1|Gen 5:22
methusaela|1|Gen 4:18
methusael|1|Gen 4:18
methoar|1|Jos 19:13
messara|1|1Sa 24:22
mesobaite|1|1Ch 11:47
meshellemiah|1|1Ch 9:21
meronothite|1|Neh 3:7
meron|1|Jos 12:20
merathon|1|1Ch 27:30
merarites|1|Num 26:57
mephibosheths|1|2Sa 16:4
meon|1|Jer 48:23
menan|1|Luk 3:31
menahethites|1|1Ch 2:54
melicu|1|Neh 12:14
melchisedek|1|Heb 7:21
melchiram|1|1Ch 3:18
melchijah|1|Neh 12:42
melchiah|1|Jer 21:1
mekeziz|1|Jos 18:21
meholathite|1|1Sa 18:19
meholahite|1|2Sa 21:8
mehetabeel|1|Neh 6:10
medes|1|Dan 5:28
mecherathite|1|1Ch 11:36
mebunnai|1|2Sa 23:27
meah|1|Neh 12:39
matthew|1|Mat 9:9
matthaniah|1|Ezr 10:30
mattathah|1|Ezr 10:33
mathusala|1|Luk 3:37
mathaniah|1|Neh 12:35
mathan|1|2Ki 11:18
massai|1|1Ch 9:12
masphar|1|Neh 7:7
mashal|1|1Ch 6:74
masena|1|2Ki 22:14
masek|1|Gen 15:2
mark|1|2Ti 4:11
maralah|1|Jos 19:11
mapsar|1|2Sa 24:7
maphaath|1|Jos 21:37
maoz|1|Jdg 6:26
manassites|1|Deu 4:43
maleleel|1|Luk 3:37
malchielites|1|Num 26:45
malcham|1|1Ch 8:9
mahlites|1|Num 26:58
mahavite|1|1Ch 11:46
mahanaim|1|1Ki 4:14
mahalah|1|1Ch 7:18
maggedo|1|Isa 10:28
magdala|1|Mat 15:39
maeber|1|1Ki 4:12
madbariti|1|Jos 18:12
machmas|1|Hos 9:6
machirites|1|Num 26:29
machbanai|1|1Ch 12:13
macedonians|1|2Co 9:4
macedonia|1|1Co 16:5
mabne|1|Neh 11:28
maadiah|1|Neh 12:5
lycaonian|1|Act 14:11
lidians|1|Eze 27:10
libnath|1|Jos 19:26
libinites|1|Num 26:58
libertines|1|Act 6:9
levitical|1|Heb 7:11
leshem|1|Jos 19:47
lesen|1|Jos 19:47
lehem|1|1Ch 4:22
ledan|1|Eze 25:13
lebbaeus|1|Mat 10:3
lebana|1|Neh 7:48
leah|1|Gen 34:1
lapidoth|1|Jdg 4:4
laodiceans|1|Col 4:16
lamluz|1|Gen 28:19
lakum|1|Jos 19:33
lakonika|1|Isa 3:22
labed|1|Jos 17:5
labans|1|Gen 30:42
kushaiah|1|1Ch 15:17
korathites|1|Num 26:58
korahthite|1|1Ch 9:31
kohathites|1|Num 26:57
kohathite|1|1Ch 9:32
kohath|1|Num 3:27
klopas|1|Joh 19:25
kithlish|1|Jos 15:40
kis|1|Act 13:21
kirjathsepher|1|Jdg 1:11
kirjathjearim|1|Jos 18:14
kirjatharim|1|Ezr 2:25
kerioth|1|Jer 48:24
kenizites|1|Gen 15:19
kena|1|Jdg 4:11
keila|1|1Ch 4:19
kefaz|1|Son 5:11
kechar|1|2Sa 18:23
keblaam|1|2Ki 15:10
kattath|1|Jos 19:15
kartah|1|Jos 21:34
karnaim|1|Gen 14:5
kamuel|1|1Ch 27:17
judean|1|Joh 3:22
judaize|1|Gal 2:14
judahmen|1|Neh 4:2
jucal|1|Jer 38:1
jozadek|1|Ezr 3:8
jozachar|1|2Ki 12:21
jothor|1|Jdg 1:16
josibiah|1|1Ch 4:35
josiah|1|2Ki 22:1
joshua|1|Jdg 2:21
joshabbasshebeth|1|2Sa 23:8
josedek|1|Jer 23:6
jose|1|Luk 3:29
josabad|1|1Ch 12:4
jorkoam|1|1Ch 2:44
jordan|1|Deu 3:17
jonan|1|Luk 3:30
jonah|1|Jon 1:5
jokmeam|1|1Ch 6:68
johahnan|1|2Ch 17:15
jobath|1|Deu 10:7
joash|1|2Ch 25:23
joa|1|Neh 12:22
jiphtah|1|Jos 15:43
jimnites|1|Num 26:44
jimnah|1|Gen 46:17
jimna|1|Num 26:44
jibsam|1|1Ch 7:2
jezoar|1|1Ch 4:7
jezliah|1|1Ch 8:18
jeziah|1|Ezr 10:25
jezerites|1|Num 26:49
jezebel|1|2Ki 9:10
jeturites|1|1Ch 5:19
jethlah|1|Jos 19:42
jesuites|1|Num 26:44
jesui|1|Num 26:44
jessiah|1|1Ch 12:6
jesse|1|1Sa 17:20
jesimoth|1|Num 33:49
jesiah|1|1Ch 23:20
jeshua|1|Ezr 2:6
jesharelah|1|1Ch 25:14
jeshaiaih|1|Ezr 8:7
jeshabeab|1|1Ch 24:13
jerubbesheth|1|2Sa 11:21
jerousha|1|2Ch 27:1
jeroboam|1|1Ki 11:28
jerimuth|1|Jos 10:5
jerahmeelite|1|1Sa 30:29
jekabseel|1|Neh 11:25
jehoshuah|1|1Ch 7:27
jehoiachin|1|2Ki 24:8
jehiah|1|1Ch 15:24
jehezekel|1|1Ch 24:16
jehalelel|1|2Ch 29:12
jehaleleel|1|1Ch 4:16
jeezerites|1|Num 26:30
jeezer|1|Num 26:30
jedidiah|1|2Sa 12:25
jecholiah|1|2Ki 15:2
jecamiah|1|1Ch 3:18
jebusites|1|Jos 9:1
jebus|1|1Ch 11:4
jebneel|1|Jos 15:11
jeaterai|1|1Ch 6:21
jatir|1|Jos 15:48
jasub|1|Isa 7:3
jassib|1|Jos 17:7
jasiel|1|1Ch 11:47
jashubites|1|Num 26:24
jasanah|1|Neh 3:6
jarite|1|2Sa 20:26
jariel|1|Jos 17:9
jaresiah|1|1Ch 8:27
japho|1|Jos 19:46
japhleti|1|Jos 16:3
janum|1|Jos 15:53
janna|1|Luk 3:24
jaminites|1|Num 26:12
jakan|1|1Ch 1:42
jahziel|1|1Ch 7:13
jahzeelites|1|Num 26:48
jahzah|1|1Ch 6:78
jahleelites|1|Num 26:26
jahaziah|1|Ezr 10:15
jahaza|1|Jos 13:18
jadau|1|Ezr 10:43
jadaiah|1|Neh 11:10
jachinites|1|Num 26:12
jachan|1|1Ch 5:13
jabneh|1|2Ch 26:6
jabel|1|Gen 4:20
jaareoregim|1|2Sa 21:19
jaanai|1|1Ch 5:12
jaala|1|Neh 7:58
jaakin|1|Deu 10:6
izri|1|1Ch 25:11
izrahite|1|1Ch 27:8
izharites|1|1Ch 26:29
iturea|1|Luk 3:1
ithra|1|2Sa 17:25
ithma|1|1Ch 11:46
ithai|1|1Ch 11:31
italic|1|Act 10:1
isui|1|Gen 46:17
israelitish|1|Lev 24:11
israelites|1|2Co 11:22
israelite|1|Rom 11:1
ispah|1|1Ch 8:16
ismaelites|1|Jdg 8:24
ishui|1|1Sa 14:49
ishuai|1|1Ch 7:30
ishtob|1|2Sa 10:8
ishod|1|1Ch 7:18
ishmeelite|1|1Ch 2:17
ishmaelites|1|Gen 37:27
ishmaelite|1|1Ch 27:30
ishijah|1|Ezr 10:31
ishiah|1|1Ch 7:3
ishbosheth|1|2Sa 3:8
ishbi|1|2Sa 21:16
