Exo 3:12	And God said  to Moses, saying that, I will be with you. And this will be to you the sign that I send you in  your leading   my people from out of Egypt, and you shall serve  God in  this mountain.
Exo 4:16	And he shall speak  the things to the people, and he will be your mouth. But you will be to him the things for  God.
Exo 4:22	But you will say  to Pharaoh, Thus says the LORD -- son of my first-born, Israel.
Exo 6:8	And I will bring you into the land in which I stretched out  my hand to give it to Abraham, and Isaac, and Jacob. And I will give to it you by lot. I am the LORD.
Exo 7:2	But you shall speak to him all as much as I give charge to you. But Aaron  your brother  will speak to Pharaoh, so as to send the sons of Israel from out of his land.
Exo 9:19	Now then hasten to bring together  your cattle,  and as much as is to you in the plain! For all the men, and the cattle, as much as might be found in the plains, and what might not enter into a residence, and what hail should have fallen upon them,  it will come to an end.
Exo 10:26	And  our cattle shall go with us, and we shall not leave behind a hoof. For of them we shall take to serve the LORD our God. But we know not how we shall serve the LORD our God until the arriving of us there.
Exo 12:21	And Moses called the whole council of elders of Israel. And he said to them, Going forth, take to yourselves a sheep according to your kin, and sacrifice the passover!
Exo 12:22	But you shall take a bundle of hyssop, and having dipped it from the blood, of the blood by the door, you shall place it on the lintel and upon both of the doorposts, of the blood which is by the door; and you shall not go forth -- each from the door  of his house until morning.
Exo 13:11	And it shall be whenever  the LORD your God should bring you   into the land of the Canaanites, in which manner he swore by an oath to your fathers,  and shall give to it you,
Exo 15:25	And Moses yelled to the LORD. And the LORD showed to him a tree. And he put it into the water, and the water was sweetened. There he established with him ordinances and judgments, and there tested he him.
Exo 16:7	And in the morning you will see the glory of the LORD, in the hearing  of your grumbling against  God. And we, what are we that you complain against us?
Exo 16:8	And Moses said,  It is in the the LORD giving to you in the evening meats to eat, and bread loaves in the morning for fullness, on account of the LORD'S hearing   your grumbling which you complain against us. But we, what are we? For not is your grumbling against us,   but against  God.
Exo 19:6	And you shall be to me a royal priesthood, and a holy nation. These  words you shall say to the sons of Israel.
Exo 19:9	And the LORD said to Moses, Behold, I come to you in a column of cloud, that the people may hear me speaking to you, and may trust you into the eon. And Moses announced the words of the people to the LORD.
Exo 19:23	And Moses said  to  God, the people shall not be able to ascend to  mount  Sinai, for you testified to us, saying, Separate from the mountain and sanctify it!
Exo 20:12	Esteem  your father  and  your mother!  that good should happen to you, and that you may be a long time upon the good earth  which the LORD your God  gives to you.
Exo 20:23	You shall not make to yourselves gods of silver, and gods of gold; you shall not make to them yourselves.
Exo 21:4	And if  the master should give to him a wife, and she should bear to him, sons and daughters, the wife and the children shall be  his masters,  and he alone shall go forth by himself.
Exo 21:34	the owner of the pit shall pay; he shall give money to their owner, and the animal coming to an end will be his.
Exo 21:36	And if  it is made known that the bull is given to goring before  yesterday and before the third day, and they should have been testifying to its owner,  and he did not remove it, he shall pay bull for bull, but the bull coming to an end will be his.
Exo 22:2	And if  the thief should be found in the ditch, and being struck should die, it is not  murder to striking him.
Exo 23:9	And a foreigner you shall not maltreat, nor in any way  afflict. For you know the soul of the foreigner, for you yourselves were foreigners  in the land of Egypt.
Exo 24:2	And Moses shall approach  alone to  God, but they shall not approach, and the people shall not go up with them.
Exo 32:22	And Aaron said  to Moses, Be not provoked to anger, O master! for you know the impulse  of this people.
Exo 33:12	And Moses said  to the LORD, Behold, you say to me, Lead  this people! But you manifested not  to me whom you shall send along with me. But you said to me,  I know you above all, and you have favor with me.
Eze 3:19	And if you should give orders to the lawless one, and he should not turn from  his lawlessness,  nor  his unjust way;  that lawless one shall die in his iniquity,   and you  shall rescue your soul.
Eze 11:3	The ones saying, Have they not recently built the houses? This is the kettle, and are we the meats.
